,eventId,created,startExpect,endExpect,start,end,cp,category,description,sids,lng,lat,accident_sid
80,3674056,2020-09-16 10:53:16,2020-09-16 10:31:00,2020-09-16 11:01:00,,,경찰청(UTIC),ACCIDENT,[사고] 도봉로 수유치과의원 에서 수유사거리 방향 3차로 고장 차량 주의운전,[1080005204],127.023847723707,37.6323079084349,1080005204
68,3674448,2020-09-16 13:33:00,2020-09-16 13:31:00,2020-09-16 13:51:00,,,tbs 교통방송,ACCIDENT,강변북로 (일산 → 구리) 동작대교 조금 못 간 저점 2차로 승용차끼리 추돌사고로 정체,[1020000101],126.979425,37.516094,1020000101
73,3674530,2020-09-16 15:39:20,2020-09-16 15:29:00,2020-09-16 15:59:00,,,경찰청(UTIC),ACCIDENT,[사고] 화랑로 과기원후문 에서 월곡시장 방향 3차로 고장 차량 주의운전,[1070046900],127.043284171164,37.6036800814202,1070046900
77,3674610,2020-09-16 16:21:00,2020-09-16 16:13:00,2020-09-16 16:43:00,,,경기도 교통정보센터,ACCIDENT,"[사고] 강변북로 (구리방향) 난지IC → 성산대교  2차로 통제,  사고",[1130004304],126.8906278,37.5603333496997,1130004304
75,3674755,2020-09-16 20:21:19,2020-09-16 19:56:00,2020-09-16 20:26:00,,,경찰청(UTIC),ACCIDENT,[사고] 화랑로 화랑대사거리 에서 화랑대역 방향 4차로 교통사고,[1100009100],127.086716380448,37.621437165396,1100009100
56,3674835,2020-09-17 07:33:17,2020-09-17 07:19:00,2020-09-17 07:49:00,,,경찰청(UTIC),ACCIDENT,"[사고] 정릉로 길음IC 에서 종암사거리 방향 3,4차로 교통사고 주의운전",[1070044600],127.031723085421,37.6035418428541,1070044600
64,3674836,2020-09-17 07:33:17,2020-09-17 07:26:00,2020-09-17 07:56:00,,,경찰청(UTIC),ACCIDENT,[사고] 정릉로 종암사거리정릉길진출 에서 종암사거리 방향 1차로 고장 차량 주의운전,[1070044600],127.03192688808,37.6034471839205,1070044600
58,3675325,2020-09-17 11:32:01,2020-09-17 11:32:01,2020-09-17 12:00:00,,,국토교통부,ACCIDENT,[사고] 수도권제1순환선(1000) (갓길)승용차관련사고처리중,[2180006100],126.7965,37.6152,2180006100
28,3676490,2020-09-18 11:18:19,2020-09-18 09:19:00,2020-09-18 12:49:00,,,경찰청(UTIC),ACCIDENT,[사고] 천호대로 대원빌딩 에서 용두4교 방향 4차로 고장 차량 주의운전,[1050008504],127.035779391782,37.5741187715339,1050008504
35,3676757,2020-09-18 11:29:00,2020-09-18 11:27:00,2020-09-18 11:47:00,,,tbs 교통방송,ACCIDENT,[사고] 강변북로 (구리 → 일산) 한남대교아래 3차로 승용차끼리 추돌사고로 정체,[1020000902],127.01008,37.529574,1020000902
43,3676787,2020-09-18 13:40:21,2020-09-18 13:23:00,2020-09-18 13:53:00,,,경찰청(UTIC),ACCIDENT,[사고] 동부간선도로 성동교 에서 응봉교 방향 3차로 교통사고 주의운전,[1030001902],127.040536515497,37.5514211343783,1030001902
18,3677302,2020-09-19 09:55:00,2020-09-19 09:52:00,2020-09-19 10:12:00,,,tbs 교통방송,ACCIDENT,내부순환로 성산대교방면 (연희램프 → 성산램프) 3차로 승용차끼리 추돌사고로 또 다른 사고위험,[1130006501],126.915243,37.566791,1130006501
24,3677691,2020-09-19 14:30:00,2020-09-19 14:27:00,2020-09-19 14:47:00,,,tbs 교통방송,ACCIDENT,"강변북로 구리방면 (반포대교 → 한남대교) 3,4차로 승용차관련 추돌사고 처리작업으로 정체",[1020001002],127.005951,37.527241,1020001002
65,3677892,2020-09-20 09:44:18,2020-09-20 09:30:00,2020-09-20 10:00:00,,,경찰청(UTIC),ACCIDENT,[사고] 봉천로 당곡사거리 에서 신대방역 방향 5차로 교통사고 화물차 관련. 후미 서행,[1200011402],126.92698803765,37.4897273734163,1200011402
57,3678037,2020-09-20 10:13:00,2020-09-20 10:10:00,2020-09-20 10:30:00,,,tbs 교통방송,ACCIDENT,"천호대로 (길동4거리 → 천호대교) 천호4거리 조금 못 간 지점 6,7차로 승용차,택시 추돌사고로 또 다른 사고위험",[1240001002],127.125282,37.538162,1240001002
55,3678049,2020-09-20 11:54:00,2020-09-20 11:49:00,2020-09-20 12:09:00,,,tbs 교통방송,ACCIDENT,강변북로 일산방면 (양화대교 → 성산대교) 1차로 승용차관련 추돌사고로 정체,[1130002401],126.902031,37.551464,1130002401
67,3678056,2020-09-20 12:05:21,2020-09-20 11:50:00,2020-09-20 12:20:00,,,경찰청(UTIC),ACCIDENT,[사고] 통일로 연신내역 에서 박석고개 방향 3차로 교통사고 택시-승용차. 후미 서행,[1110001802],126.920494982089,37.6200119269526,1110001802
